Gene	Module
asxl1-like.l[asxl1(0.0)|kif3b(4e-46)|pofut1(0.0)]	1
asxl1-like.s[asxl1(0.0)|kif3b(0.0)]	62
asxl3.l[asxl3(0.0)]	8
atad1.l[atad1(0.0)]	16
atad1.s[atad1(5e-87)]	8
atad2b-like.l[atad2b(4e-86)]	91
atad3a.l[atad3a(0.0)]	130
atad5.l[atad5(2e-138)]	26
atad5.s[atad5(1e-140)]	26
atf1.l[atf1(0.0)]	16
atf1.s[atf1(0.0)]	6
atf4.l[atf4(9e-123)]	28
atf4.s[atf4(0.0)]	28
atf7ip-like.l[atf7ip(0.0)]	8
atf7ip-like.s[atf7ip(0.0)]	8
atg101.s	3
atg16l1.l[atg16l1(7e-105)]	24
atg16l1.s[atg16l1(1e-93)]	25
atg3.l[atg3(8e-74)]	1
atg3.s[atg3(0.0)]	12
atg4c.s[atg4c(0.0)]	1
atg4d.l[atg4d(8e-40)]	10
atg4d.s[atg4d(6e-53)]	28
atic.l[atic(3e-96)]	78
atic.s[atic(0.0)]	2
atp10d.l[atp10d(0.0)]	26
atp11b-like.l[atp11b(5e-88)]	65
atp13a-like.l[atp13a-like(0.0)]	4
atp13a-like.s[atp13a-like(1e-62)]	4
atp13a1.l[atp13a1(0.0)|chchd5(3e-114)]	4
atp13a4.l[atp13a4(2e-74)]	4
atp1a1.l[atp1a1(0.0)]	9
atp1a1.s[atp1a1(0.0)]	107
atp1b1.l[atp1b1(0.0)]	23
atp1b1.s[atp1b1(2e-70)]	69
atp1b3.l[atp1b3(4e-101)]	90
atp1b3.s[atp1b3(8e-95)]	90
atp2a3.l[atp2a3(0.0)]	96
atp2b4-like.s[atp2b2(1e-101)]	124
atp2c2.l[atp2c2(0.0)]	114
atp5a1.l[atp5a1(3e-51)]	2
atp5a1.s[atp5a1(7e-48)]	2
atp5b.l[atp5b(0.0)]	11
atp5b.s[atp5b(0.0)]	2
atp5c1.l[atp5c1(0.0)]	78
atp5c1.s[atp5c1(1e-35)]	78
atp5d.l[atp5d(0.0)]	2
atp5d.s[atp5d(0.0)]	2
atp5f1.l[atp5f1(0.0)]	2
atp5f1.s[atp5f1(0.0)]	2
atp5h.s[atp5h(3e-124)]	11
atp5j.s[atp5j(3e-151)]	28
atp5j2.s[atp5j2(3e-135)]	2
atp5l.l[atp5l(0.0)]	49
atp5o.l[atp5o(3e-35)]	28
atp5o.s[atp5o(0.0)]	82
atp6ap2.l[atp6ap2(0.0)]	7
atp6v0a1.l[atp6v0a1(0.0)]	5
atp6v0a2.l[atp6v0a2(0.0)]	7
atp6v0b.l[atp6v0b(5e-55)]	9
atp6v0b.s[atp6v0b(1e-51)]	119
atp6v0c.l[atp6v0c(0.0)]	1
atp6v0c.s[atp6v0c(0.0)]	56
atp6v0d1.l[atp6v0d1(0.0)]	9
atp6v1c2.l[atp6v1c2(0.0)]	81
atp6v1e1.1[atp6v1e1(1e-31)]	10
atp8b2-like.l[xb-gene-994120(2e-21)]	5
atp8b3.l[atp8b3(0.0)]	4
atp9a.l[atp9a(3e-66)]	53
atrx-like.l[atrx(9e-61)]	21
atxn2.l[atxn2(0.0)]	97
atxn2.s[atxn2(0.0)]	97
atxn3.s[atxn3(0.0)]	3
aup1.s[aup1(8e-114)]	9
aurka.l[aurka(3e-172)]	3
aurka.s[aurka(0.0)]	29
aurkb.l[aurkb(0.0)]	14
avl9.l[avl9(0.0)]	81
awat1.l[awat1(1e-22)]	3
axin1.s[axin1(8e-109)]	91
axin2.l[axin2(7e-56)|cep112(0.0)]	67
axin2.s[axin2(0.0)]	67
axl.l[axl(0.0)]	4
azin1.l[azin1(0.0)]	1
azin1.s[azin1(0.0)]	12
azin2.1[adc(0.0)]	73
b3galt4.l[b3galt4(0.0)]	14
b3galt6.l[b3galt6(0.0)]	7
b3galt6.s[b3galt6(0.0)]	1
b3galtl.l[b3galtl(0.0)]	61
b3gat3.l[b3gat3(0.0)]	16
b3gnt2.l[b3gnt2(0.0)]	133
b3gnt2.s[b3gnt2(0.0)]	9
b3gnt5.s[b3gnt5(5e-25)]	5
b3gnt7.1[b3gnt7(0.0)]	4
b3gnt7.s[b3gnt7(0.0)]	68
b4galnt1.s[b4galnt1(0.0)]	19
b4galnt3-like.1[b4galnt3(7e-34)]	4
b4galt2-like.s[b4galt2(0.0)]	19
b4galt3-like.2.l[b4galt3(0.0)]	4
b4galt3-like.2.s[b4galt3(0.0)]	40
b4galt6.l[b4galt6(1e-154)]	136
b4galt6.s[b4galt6(1e-140)]	90
b4galt7.s[b4galt7(0.0)]	2
b9d1.l[b9d1(0.0)]	1
bace2.l[bace2(0.0)]	4
bace2.s[bace2(0.0)]	95
baf-l.l[baf-l(2e-57)]	10
bag4-like.l[bag4(0.0)]	6
bag4-like.s[bag4(0.0)]	1
baiap2l1.l[baiap2l1(1e-81)]	50
bambi.l[bambi(0.0)]	68
bambi.s[bambi(0.0)]	68
banf1-like.l[banf1(2e-44)]	29
banf1-like.s[banf1(4e-107)]	2
banp.1[banp(1e-128)]	1
banp.l[banp(0.0)]	1
baz1a.l[baz1a(2e-91)]	76
baz1b.l[baz1b(0.0)]	76
baz1b.s[baz1b(0.0)]	26
baz2a.l[baz2a(0.0)]	94
baz2b.l[baz2b(0.0)]	13
bbs4.s[arih1(0.0)|bbs4(0.0)]	69
bbs5.l[bbs5(0.0)|kbtbd10(0.0)]	72
bc014685.s[bc014685(0.0)|pitx3(4e-24)]	48
bcam.l[bcam(0.0)]	69
bcam.s[bcam(0.0)]	88
bcap29.l[bcap29(0.0)]	1
bcar1.l[bcar1(0.0)]	8
bcar3.l[bcar3(0.0)]	9
bcas1.s	38
bccip.s[bccip(0.0)]	2
bckdha.l[bckdha(0.0)]	70
bcl2l13.1[bcl2l13(0.0)]	53
bcl7a.l[bcl7a(0.0)]	93
bcl7a.s[bcl7a(2e-70)]	76
bcl9.l[bcl9(0.0)]	39
bcl9.s[bcl9(1e-159)]	39
bcor.1[bcor(0.0)]	5
bcor.l[bcor(1e-93)]	6
bcorl1.l[bcorl1(0.0)]	21
bcorl1.s[bcorl1(0.0)]	19
bcr.s[bcr(3e-76)|specc1l(0.0)]	5
bend3.l[bend3(0.0)]	85
bend3.s[bend3(0.0)]	85
bet1l-like.s[bet1l(1e-123)]	36
bfar.l[ensxetg00000010995(0.0)|bfar(0.0)]	43
bicd2-like.1.l[ensxetg00000023941(0.0)]	33
bin3.l[bin3(0.0)]	114
birc2.l[birc2(3e-89)]	4
birc2.s[birc2(0.0)]	85
birc5.1.s[birc5.1(0.0)]	1
birc5.2.1[birc5.2(2e-167)]	11
birc5.2.s[birc5.2(3e-86)]	3
birc6-like.2.l[birc6(2e-131)]	15
birc6-like.2.s[birc6(0.0)]	15
blm.s[blm(2e-41)]	16
blmh.l[blmh(3e-99)]	1
blmh.s[blmh(6e-117)]	3
blvrb.l[blvrb(0.0)]	53
blzf1.l[blzf1(0.0)]	3
blzf1.s[blzf1(0.0)]	1
bmp4.l[bmp4(0.0)]	120
bmp4.s[bmp4(0.0)]	133
bmp7.1.l[bmp7.1(2e-54)]	68
bmpr1a.1[bmpr1a(0.0)]	6
bmpr1b.l[bmpr1b(0.0)]	128
bmpr1b.s[bmpr1b(2e-105)]	128
bms1.l[bms1(0.0)]	131
bnip3.l[bnip3(2e-51)]	25
bnip3.s[bnip3(1e-38)]	61
boc.l[boc(0.0)]	51
boc.s[boc(0.0)]	19
bod1l1.l[bod1l(0.0)]	26
bod1l1.s[bod1l(0.0)]	37
bola2.1[bola2(6e-74)]	11
bop1.l	13
bora-like.l[c13orf34(2e-75)]	22
bora-like.s[c13orf34(9e-158)]	12
bpgm.l[bpgm(0.0)]	35
bpnt1.l[bpnt1(0.0)]	1
bptf.l[bptf(1e-62)]	37
bptf.s[bptf(1e-62)]	37
brca1.l[brca1(0.0)]	101
brcc3.l[brcc3(0.0)]	3
brd2.s[brd2(0.0)]	3
brd4.l[brd4(0.0)]	44
brd4.s[brd4(0.0)]	44
brd7.l[brd7(0.0)]	42
brd9.l[brd9(0.0)]	93
bre.l[bre(0.0)]	1
brix1.l[brix1(0.0)]	2
brix1.s[brix1(1e-139)]	29
brk1.s[brk1(0.0)]	10
brms1l.l[brms1l(0.0)]	1
brms1l.s[brms1l(0.0)]	24
brpf1.l[brpf1(0.0)]	39
brpf1.s[brpf1(8e-133)]	66
brwd3-like.l[ensxetg00000031031(3e-22)|brwd3(0.0)]	94
bsg.l[bsg(0.0)]	56
bsg.s[bsg(1e-177)]	56
bspry-like.l[bspry(9e-142)]	9
btaf1-like.1.l[btaf1(0.0)]	75
btbd10-like.l[btbd10(8e-44)]	4
btbd6.l[btbd6(3e-44)]	47
btbd7.l[btbd7(0.0)]	15
btbd7.s[btbd7(0.0)]	37
btf3.l[btf3(0.0)]	29
btf3.s[btf3(0.0)]	2
btf3l4.l[btf3l4(0.0)]	2
btf3l4.s[btf3l4(0.0)]	29
btg1.l[btg1(0.0)]	36
btg1.s[btg1(0.0)]	23
btg2.s[btg2(0.0)]	5
btrc.l[btrc(0.0)]	16
btrc.s[btrc(1e-56)]	13
bub1.l[bub1(0.0)]	25
bub3.l[bub3(3e-112)]	17
bub3.s[bub3(5e-102)]	42
bud13.l[bud13(0.0)]	140
bysl.s[bysl(0.0)]	2
bzw1.l[bzw1(6e-54)]	60
bzw1.s[bzw1(0.0)]	2
c10orf58.l[c10orf58(2e-122)]	1
c11orf30-like.s[c11orf30(5e-24)]	59
c11orf48.s[snora57(2e-51)|c11orf48(1e-161)]	2
c11orf54.l[c11orf54(0.0)]	19
c12orf45.l[c12orf45(3e-113)]	14
c12orf45.s[c12orf45(3e-162)]	17
c12orf49.l[c12orf49(0.0)]	2
c12orf49.s[c12orf49(0.0)]	76
c12orf57.l[c12orf57(6e-85)]	2
c14orf166.l[c14orf166(0.0)]	16
c15orf57.l[c15orf57(0.0)]	17
c16orf13.l[c16orf13(7e-119)]	28
c16orf52.l[c16orf52(7e-27)]	3
c16orf52.s[c16orf52(4e-155)]	3
c16orf72.l[c16orf72(0.0)]	3
c16orf72.s[c16orf72(0.0)]	80
c17orf103.s[c17orf103(0.0)]	1
c17orf62.l[c17orf62(2e-35)]	16
c18orf25.l[c18orf25(2e-58)]	21
c18orf25.s[c18orf25(0.0)]	91
c18orf54.s[c18orf54(0.0)]	5
c19orf10.l[c19orf10(0.0)]	2
c19orf24.l[c19orf24(8e-115)]	10
c19orf43.1[c19orf43(8e-42)]	17
c19orf43.l[c19orf43(1e-161)]	12
c1d.l[c1d(0.0)]	28
c1galt1.l[c1galt1(0.0)]	7
c1galt1.s[c1galt1(0.0)]	38
c1galt1c1.l[c1galt1c1(4e-32)]	9
c1orf21.l[c1orf21(0.0)]	1
c1orf27-like.l[c1orf27(1e-63)]	12
c1orf35.l[c1orf35(4e-71)]	40
c1orf50.l[c1orf50(0.0)]	2
c1orf52.l[c1orf52(0.0)]	28
c1orf52.s[c1orf52(0.0)]	71
c1qbp-like.l[c1qbp(0.0)]	3
c1qbp-like.s[c1qbp(0.0)]	13
c20orf27.l[c20orf27(3e-50)]	120
c21orf59-like.l[c21orf59(0.0)]	72
c21orf59-like.s[c21orf59(5e-66)]	72
c21orf91.l[c21orf91(1e-44)]	40
c2cd2.l[c2cd2(4e-40)]	35
c2cd2.s[c2cd2(1e-155)]	20
c2cd3.s[c2cd3(8e-47)]	115
c2orf47.l[c2orf47(4e-52)]	11
c2orf47.s[c2orf47(2e-52)]	3
c2orf49.l[c2orf49(0.0)]	3
c3.l[c3(8e-56)]	51
c3orf17.l[c3orf17(0.0)]	13
c3orf52-like.l	73
c3orf58.l[c3orf58(0.0)]	6
c3orf58.s[c3orf58(0.0)]	9
c5orf30.l[c5orf30(7e-102)]	19
c6orf106.s[c6orf106(6e-61)]	16
c6orf165.l[c6orf165(0.0)]	22
c6orf62.l[c6orf62(0.0)]	80
c6orf62.s[c6orf62(0.0)]	14
c7orf60.l[c7orf60(0.0)]	6
c7orf60.s[c7orf60(0.0)]	24
c8g.s	38
c8orf76.l[c8orf76(6e-27)]	40
c8orf76.s[c8orf76(0.0)]	135
c9orf114.l[c9orf114(8e-171)]	64
c9orf156.l[c9orf156(4e-90)]	1
c9orf78.1[c9orf78(0.0)]	11
ca12.l[ca12(0.0)]	54
ca2.l[ca2(0.0)]	63
ca5b.l[ca5b(0.0)]	52
ca7.1[ca7(0.0)]	81
ca7.l[ca7(0.0)]	113
ca8.s[ca8(8e-160)]	75
caap1-like.l[c9orf82(0.0)]	14
cables2.l[cables2(2e-23)]	89
